Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Cuba,2021,All ages,Both,Substance use disorders,DALY rank,17,,
Cuba,2021,All ages,Both,Substance use disorders,"DALYs per 100,000",471.3638005243854,387.3863068642405,573.6418086623776
Peru,2021,All ages,Both,Substance use disorders,DALY rank,21,,
Peru,2021,All ages,Both,Substance use disorders,"DALYs per 100,000",229.89487353917295,179.24903071973785,290.85570849442996
Mexico,2021,All ages,Both,Substance use disorders,DALY rank,18,,
Mexico,2021,All ages,Both,Substance use disorders,"DALYs per 100,000",342.1164564732178,270.4714142010122,422.2428187480091
Brazil,2021,All ages,Both,Substance use disorders,DALY rank,17,,
Brazil,2021,All ages,Both,Substance use disorders,"DALYs per 100,000",562.1378294258101,449.62724123377114,694.4231396085693
Egypt,2021,All ages,Both,Substance use disorders,DALY rank,21,,
Egypt,2021,All ages,Both,Substance use disorders,"DALYs per 100,000",131.76007986098344,92.36236795648512,169.9766522998268
India,2021,All ages,Both,Substance use disorders,DALY rank,22,,
India,2021,All ages,Both,Substance use disorders,"DALYs per 100,000",271.11086415874183,212.53635462208322,333.9587796471434
Angola,2021,All ages,Both,Substance use disorders,DALY rank,23,,
Angola,2021,All ages,Both,Substance use disorders,"DALYs per 100,000",163.80881765812833,123.80675844497206,208.09501760757286
Kenya,2021,All ages,Both,Substance use disorders,DALY rank,23,,
Kenya,2021,All ages,Both,Substance use disorders,"DALYs per 100,000",127.38521852282683,101.08933861145233,158.31021627914785
South Africa,2021,All ages,Both,Substance use disorders,DALY rank,22,,
South Africa,2021,All ages,Both,Substance use disorders,"DALYs per 100,000",418.6673537863373,332.39568231676134,520.2924654977986
Ghana,2021,All ages,Both,Substance use disorders,DALY rank,23,,
Ghana,2021,All ages,Both,Substance use disorders,"DALYs per 100,000",129.19764737989996,99.64811807333456,162.0411735169111
China,2021,All ages,Both,Diabetes and kidney diseases,DALY rank,8,,
China,2021,All ages,Both,Diabetes and kidney diseases,"DALYs per 100,000",1264.5504506016723,1040.6729950031884,1539.1191927870107
Indonesia,2021,All ages,Both,Diabetes and kidney diseases,DALY rank,7,,
Indonesia,2021,All ages,Both,Diabetes and kidney diseases,"DALYs per 100,000",1698.0549937294506,1451.108894771983,1966.6093200962462
Fiji,2021,All ages,Both,Diabetes and kidney diseases,DALY rank,2,,
Fiji,2021,All ages,Both,Diabetes and kidney diseases,"DALYs per 100,000",7594.152737352905,6078.179956127348,9468.399178494743
Kazakhstan,2021,All ages,Both,Diabetes and kidney diseases,DALY rank,13,,
Kazakhstan,2021,All ages,Both,Diabetes and kidney diseases,"DALYs per 100,000",1172.697316605767,962.9397605474887,1422.8610436618937
Poland,2021,All ages,Both,Diabetes and kidney diseases,DALY rank,9,,
Poland,2021,All ages,Both,Diabetes and kidney diseases,"DALYs per 100,000",1715.1830162520314,1415.0691953621365,2078.209791866136
Ukraine,2021,All ages,Both,Diabetes and kidney diseases,DALY rank,14,,
Ukraine,2021,All ages,Both,Diabetes and kidney diseases,"DALYs per 100,000",925.4919019027967,708.591605510068,1166.4055011771015
Japan,2021,All ages,Both,Diabetes and kidney diseases,DALY rank,5,,
Japan,2021,All ages,Both,Diabetes and kidney diseases,"DALYs per 100,000",1815.322090016812,1474.301454056696,2248.383050651253
Australia,2021,All ages,Both,Diabetes and kidney diseases,DALY rank,9,,
Australia,2021,All ages,Both,Diabetes and kidney diseases,"DALYs per 100,000",1115.8793702612093,936.9963169753935,1338.3015189655762
Germany,2021,All ages,Both,Diabetes and kidney diseases,DALY rank,7,,
Germany,2021,All ages,Both,Diabetes and kidney diseases,"DALYs per 100,000",1691.100602306918,1451.894814191383,1963.4214127977828
Argentina,2021,All ages,Both,Diabetes and kidney diseases,DALY rank,6,,
Argentina,2021,All ages,Both,Diabetes and kidney diseases,"DALYs per 100,000",1634.2034387017625,1451.7388141221197,1854.3847913217296
United States of America,2021,All ages,Both,Diabetes and kidney diseases,DALY rank,6,,
United States of America,2021,All ages,Both,Diabetes and kidney diseases,"DALYs per 100,000",2421.2783597910357,2060.390668111609,2849.96490048024
Cuba,2021,All ages,Both,Diabetes and kidney diseases,DALY rank,6,,
Cuba,2021,All ages,Both,Diabetes and kidney diseases,"DALYs per 100,000",2008.0693455432854,1672.8551427127245,2431.22038900245
Peru,2021,All ages,Both,Diabetes and kidney diseases,DALY rank,8,,
Peru,2021,All ages,Both,Diabetes and kidney diseases,"DALYs per 100,000",1352.7315642855085,1099.2708408178855,1653.3384031516302
Mexico,2021,All ages,Both,Diabetes and kidney diseases,DALY rank,2,,
Mexico,2021,All ages,Both,Diabetes and kidney diseases,"DALYs per 100,000",3956.0489017747136,3513.70835101788,4540.430727595069
Brazil,2021,All ages,Both,Diabetes and kidney diseases,DALY rank,8,,
Brazil,2021,All ages,Both,Diabetes and kidney diseases,"DALYs per 100,000",1817.3227893320707,1601.1956987974258,2067.086188367928
Egypt,2021,All ages,Both,Diabetes and kidney diseases,DALY rank,5,,
Egypt,2021,All ages,Both,Diabetes and kidney diseases,"DALYs per 100,000",2028.7035235232804,1730.0822320121972,2403.942285842967
India,2021,All ages,Both,Diabetes and kidney diseases,DALY rank,11,,
India,2021,All ages,Both,Diabetes and kidney diseases,"DALYs per 100,000",1425.2255560097253,1242.657367597368,1622.4315909849254
Angola,2021,All ages,Both,Diabetes and kidney diseases,DALY rank,14,,
Angola,2021,All ages,Both,Diabetes and kidney diseases,"DALYs per 100,000",1193.8916898180032,957.8448629176249,1497.435185025805
Kenya,2021,All ages,Both,Diabetes and kidney diseases,DALY rank,14,,
Kenya,2021,All ages,Both,Diabetes and kidney diseases,"DALYs per 100,000",956.6893889200167,818.9484131043347,1130.4679173433274
South Africa,2021,All ages,Both,Diabetes and kidney diseases,DALY rank,8,,
South Africa,2021,All ages,Both,Diabetes and kidney diseases,"DALYs per 100,000",2551.4759166898134,2329.4937917060206,2794.8728934352375
Ghana,2021,All ages,Both,Diabetes and kidney diseases,DALY rank,8,,
Ghana,2021,All ages,Both,Diabetes and kidney diseases,"DALYs per 100,000",1509.249836955458,1243.8310668867803,1834.8877010398924
China,2021,All ages,Both,Other COVID-19 pandemic-related outcomes,DALY rank,23,,
China,2021,All ages,Both,Other COVID-19 pandemic-related outcomes,"DALYs per 100,000",21.5126970065775,4.043058820866623,92.45501948161964
Indonesia,2021,All ages,Both,Other COVID-19 pandemic-related outcomes,DALY rank,10,,
Indonesia,2021,All ages,Both,Other COVID-19 pandemic-related outcomes,"DALYs per 100,000",1460.1198914188033,43.41019013224901,4948.494816272161
Fiji,2021,All ages,Both,Other COVID-19 pandemic-related outcomes,DALY rank,5,,
Fiji,2021,All ages,Both,Other COVID-19 pandemic-related outcomes,"DALYs per 100,000",2114.7416050573365,74.70557237348784,8003.668551597337
Kazakhstan,2021,All ages,Both,Other COVID-19 pandemic-related outcomes,DALY rank,4,,
Kazakhstan,2021,All ages,Both,Other COVID-19 pandemic-related outcomes,"DALYs per 100,000",1956.9810948048917,291.0280277533754,3434.2389084744145
Poland,2021,All ages,Both,Other COVID-19 pandemic-related outcomes,DALY rank,11,,
Poland,2021,All ages,Both,Other COVID-19 pandemic-related outcomes,"DALYs per 100,000",1191.6690556398198,49.82333615572506,2527.221475688403
Ukraine,2021,All ages,Both,Other COVID-19 pandemic-related outcomes,DALY rank,9,,
Ukraine,2021,All ages,Both,Other COVID-19 pandemic-related outcomes,"DALYs per 100,000",1814.9210458093125,93.69108898781086,3907.7927750547055
Japan,2021,All ages,Both,Other COVID-19 pandemic-related outcomes,DALY rank,20,,
Japan,2021,All ages,Both,Other COVID-19 pandemic-related outcomes,"DALYs per 100,000",84.37330832368818,28.845562191662992,152.3009006107385
Australia,2021,All ages,Both,Other COVID-19 pandemic-related outcomes,DALY rank,18,,
Australia,2021,All ages,Both,Other COVID-19 pandemic-related outcomes,"DALYs per 100,000",111.15576769834881,34.2737296846262,184.6095433692816
Germany,2021,All ages,Both,Other COVID-19 pandemic-related outcomes,DALY rank,22,,
Germany,2021,All ages,Both,Other COVID-19 pandemic-related outcomes,"DALYs per 100,000",23.95213331788875,1.687770196350703,54.692357192902755
Argentina,2021,All ages,Both,Other COVID-19 pandemic-related outcomes,DALY rank,23,,
Argentina,2021,All ages,Both,Other COVID-19 pandemic-related outcomes,"DALYs per 100,000",2.822286298730037,5.708688786535737e-10,14.606023565221353
United States of America,2021,All ages,Both,Other COVID-19 pandemic-related outcomes,DALY rank,18,,
United States of America,2021,All ages,Both,Other COVID-19 pandemic-related outcomes,"DALYs per 100,000",403.710153905145,275.9862138656058,546.0997355535734
Cuba,2021,All ages,Both,Other COVID-19 pandemic-related outcomes,DALY rank,7,,
Cuba,2021,All ages,Both,Other COVID-19 pandemic-related outcomes,"DALYs per 100,000",1762.2400003304738,58.95942838934553,4090.4624291176765
Peru,2021,All ages,Both,Other COVID-19 pandemic-related outcomes,DALY rank,2,,
Peru,2021,All ages,Both,Other COVID-19 pandemic-related outcomes,"DALYs per 100,000",2621.812387279116,2345.165351018565,2901.860050156395
Mexico,2021,All ages,Both,Other COVID-19 pandemic-related outcomes,DALY rank,10,,
Mexico,2021,All ages,Both,Other COVID-19 pandemic-related outcomes,"DALYs per 100,000",1563.1069549075157,525.1031612517922,2530.198454846531
Brazil,2021,All ages,Both,Other COVID-19 pandemic-related outcomes,DALY rank,23,,
Brazil,2021,All ages,Both,Other COVID-19 pandemic-related outcomes,"DALYs per 100,000",14.823351109734757,1.1860183546127155e-10,88.30073168728708
Egypt,2021,All ages,Both,Other COVID-19 pandemic-related outcomes,DALY rank,9,,
Egypt,2021,All ages,Both,Other COVID-19 pandemic-related outcomes,"DALYs per 100,000",1331.493289334125,96.24764482356045,2842.115768498953
India,2021,All ages,Both,Other COVID-19 pandemic-related outcomes,DALY rank,13,,
India,2021,All ages,Both,Other COVID-19 pandemic-related outcomes,"DALYs per 100,000",1214.0333422219444,927.5346918698762,1507.5314923301376
Angola,2021,All ages,Both,Other COVID-19 pandemic-related outcomes,DALY rank,11,,
Angola,2021,All ages,Both,Other COVID-19 pandemic-related outcomes,"DALYs per 100,000",1708.3725669664877,349.45658752669254,3275.3292564008
Kenya,2021,All ages,Both,Other COVID-19 pandemic-related outcomes,DALY rank,8,,
Kenya,2021,All ages,Both,Other COVID-19 pandemic-related outcomes,"DALYs per 100,000",1655.102234737986,1083.1081378339932,2264.7626584084596
South Africa,2021,All ages,Both,Other COVID-19 pandemic-related outcomes,DALY rank,5,,
South Africa,2021,All ages,Both,Other COVID-19 pandemic-related outcomes,"DALYs per 100,000",3108.9824463213818,2827.9715938559575,3482.612534212645
Ghana,2021,All ages,Both,Other COVID-19 pandemic-related outcomes,DALY rank,10,,
Ghana,2021,All ages,Both,Other COVID-19 pandemic-related outcomes,"DALYs per 100,000",1303.6549939769936,516.8720445804521,2097.1279568228183

"Institute for Health Metrics and Evaluation (IHME). GBD Compare Data Visualization. Global Burden of Disease (GBD) Study 2021. Seattle, WA: IHME, University of Washington, 2023. Available from http://vizhub.healthdata.org/gbd-compare. (Accessed 5/15/2025). For terms and conditions of use, please visit http://www.healthdata.org/about/terms-and-conditions"
